時間,ツイート本文,いいね,リツイート,ID
2022-09-13 22:30:30+00:00,"『Pythonを学ぶべき人、他の言語を学んだほうがいい人』というテーマでお話しました。未経験でエンジニア転職したいです、という方にはPythonはオススメしません。PHPやJava等の他の言語を学びましょう。
https://t.co/2EC69cIjzi",13,0,1569815813258973186
2022-09-13 21:30:00+00:00,書籍の中身ができあがってきました。マンガも取り入れつつ、わかりやすく仕上がってます。ファイル処理、Excel操作、Webスクレイピング、Webアプリ開発、Web API活用を盛り込んでいます。書きすぎて削るの大変だったくらいです。お楽しみに。あっ、この赤髪男子はぼくです。似てますよね、うん。 https://t.co/lboCZc8d12,29,1,1569800590594539520
2022-09-12 23:05:38+00:00,"LINEやYouTubeでよく頂くご質問『〇〇歳でも大丈夫ですか？』に回答してみました。
是非通勤中にでもお聞きください。
https://t.co/mCJLNrg9gP",8,0,1569462267565191168
2022-09-12 11:00:48+00:00,"今後の構想がエグすぎる。。。
https://t.co/rNdo2cCuEA https://t.co/yWfTq42VNq",25,2,1569279855505846274
2022-09-12 09:00:00+00:00,"【書籍出します】
11月上旬にKADOKAWAさんから本を出します。

タイトルは『今日からできる！　Python業務効率化スキルが身につく本』です。

5つのケーススタディに取り組みながら、Pythonでの業務効率化スキルを習得していきます。めちゃくちゃわかりやすく仕上がった自信があるのでお楽しみに。",51,4,1569249456184254466
2022-09-11 23:01:37+00:00,"【Voicyはじめました】
YouTubeやUdemy、code4bizでの『動画』形式だけでなく、気軽に聴ける『音声』での発信も始めていきます。

■ Voicyで今後発信していくテーマ
・IT・プログラミング
・業務効率化、自動化
・便利なツール、サービス
・キャリア
・仕事術

https://t.co/6jQMlBXbwC",12,1,1569098867324653568
2022-09-10 23:54:29+00:00,郵送しなきゃと思ってカバンに入れたのに1週間くらいカバンの中で保管されている現象に名前をつけたい。,15,0,1568749783711633408
2022-09-09 03:25:41+00:00,家にWi-Fiが開通し私は無敵になりました。,11,0,1568078158678888448
2022-09-08 23:32:26+00:00,"久しぶりにYouTube LIVEやります！
今回はたんたさんと！ https://t.co/rwGlcXOHM4",9,0,1568019459130146816
2022-09-08 21:33:30+00:00,めちゃくちゃ優秀なcode4bizのメンターが爆速で台本仕上げてくれて、IT領域も問題なくいけちゃう資料作成者が形にしてくれる。最強です。 https://t.co/dSeO47Beh9,24,1,1567989529302253569
2022-09-07 21:23:30+00:00,裏側で仕込み中のコンテンツが非常に良い感じに仕上がってきております🧑‍💻 https://t.co/FqG1Zt6mut,18,0,1567624624602583046
2022-09-07 14:18:19+00:00,今から聞きます！！ https://t.co/RoIepM4Oq5,3,0,1567517623117807617
2022-09-07 10:37:59+00:00,何に使うかはお楽しみに☺️,2,0,1567462176629338113
2022-09-07 10:23:32+00:00,僕の可愛いアイコンができました。 https://t.co/cRkG0xygMS,6,0,1567458541417693187
2022-09-07 08:35:23+00:00,動画も面白いので見てね😃,1,0,1567431321131323392
2022-09-07 08:34:54+00:00,"小学校からの友人がオープンしたシーシャバー煙庭！
東京在住でシーシャ好きな方は是非立ち寄ってみてください〜☺️
「いまにゅのツイート見た」で何かあるかも？😆
※何も調整してませんがｗｗ https://t.co/ZhcVQBTR18",6,0,1567431202302468097
2022-09-07 08:18:48+00:00,CalDigit TS4の入荷が待ち遠しい😣,2,0,1567427151603052544
2022-09-06 21:32:00+00:00,ちょいみせ。 https://t.co/rPVfDCvf4M,15,1,1567264375970439170
2022-09-06 08:17:51+00:00,ウルトラワイドモニターで動画撮影ってでできるのかな？🤔サイズ的に。,3,0,1567064524116869127
2022-09-01 23:14:44+00:00,"どれも実現したらありがたいなぁと思う。
https://t.co/lad7oMeHD5",9,0,1565478293146865664
2022-09-01 23:12:35+00:00,これができるようになったら本当に助かる。 https://t.co/vnEO2Mdnp8,14,1,1565477751431503877
2022-08-30 09:08:00+00:00,自分自身が強みだと認識してなくても、他の人からすると素敵な強み持ってるじゃんってことはよくある話。強みを身につけるだけじゃなくて、すでに持ってる強みをしっかり認識することも重要だと思うんですよね。,16,0,1564540427109249024
2022-08-28 13:00:03+00:00,"最近Slack、不具合みたいなのが多い気がするんですけど僕だけですかね？笑
テーマのカラーが勝手に変わったり、ワークスペースの順番変わったりするんですけど。",6,0,1563874051147583499
2022-08-28 09:02:26+00:00,Google Domainsでhttps://t.co/ZNNjP6tAXLも使えるようになってほしすぎます。,9,0,1563814253551034374
2022-08-28 00:30:57+00:00,Pythonに限らずですが、プログラミングを学んで最初から副業するのはオススメしません。副業して小銭を稼ぐのが目的なら、他のスキルを習得したほうが手っ取り早いです。,23,0,1563685534425554944
2022-08-27 02:26:37+00:00,クロスバイクかっ飛ばしたら20分で江ノ島着くくらいの場所に引っ越してきました🚴‍♂️🏝 https://t.co/18FSGM7fzz,9,0,1563352254450528258
2022-08-27 01:21:18+00:00,"〇〇歳なんですけどエンジニアとして転職できますか？という質問に対しての素晴らしいアンサーを教えて下さい😂
僕の心黒いので正直、ひとまずそのマインドセットを変えたほうがいい、年齢気にならないくらい勉強してみたら？とかって思ってしまう節があります。",21,2,1563335813911703554
2022-08-27 01:08:36+00:00,説明会で「いまにゅの由来はなんですか？」って聞いてきた人がいたんですが、なぜ今この場でその質問？って思ったのでそっけなく返答しました。お願いです。そんなどうでもいい質問しないでください。僕は本気で真剣に参加してる人に対して向き合いたいので😂,13,0,1563332621626933250
2022-08-27 01:03:16+00:00,"何度もお伝えしてますが、
code4bizでは起業・副業・転職をゴールにしておりません！結果として転職されている方もいますが、エンジニア転職が目的の方は他のスクールをオススメします！",5,0,1563331278099054592
2022-08-27 00:41:09+00:00,"code4bizの説明会では受講する人を増やすだけでなく、受講してほしくない人を除外することも意識してます。目指しているゴールが違う人、関係ない質問してくる人、細部まで気にしすぎる人には入っていただかない方が幸せだと思ってます。
だからこそ、できないこと・やらないことはしっかり伝えます。",9,1,1563325710520836097
2022-08-25 03:23:22+00:00,code4bizの説明会でも伝えているのですが、YouTubeやUdemyを中心に、世の中には無料や低額で学べる素晴らしい教材がたくさんあります。だからこそ、高額なスクールは講座内容だけでなく、コミュニティ等含めた環境自体にも大きな価値をもたせるべきだと思うんですよね。,27,1,1562641760375160832
2022-08-25 03:05:18+00:00,年齢のようなアンコントローラブルな変数に対して悩み・不安を持っても仕方がないので、スキル・経験のような今すぐ変えていけるコントローラブルな変数をどうするか考えていくほうが今後のためになると思うんですよね。,17,1,1562637212168376321
2022-08-25 02:36:49+00:00,機能面だけ見れば、似たようなサービスってたくさんあるんだけど、長く使い続けているものはUI・UXが優れているなと感じます。使い方に迷わない、使い心地が良い、シンプルで見やすい。,11,0,1562630042815184896
2022-08-25 02:28:23+00:00,便利なツール・サービスを自分で調べて使いこなせるスキルのこと、なんて命名すればよいでしょうか？😂,12,0,1562627922032496640
2022-08-24 03:20:34+00:00,ググったときに自分の動画が一番上に出てくるの嫌だ🤣😂 https://t.co/q4rOPEKRTq,24,0,1562278666763390978
2022-08-21 22:31:26+00:00,ありがとうございます🤩 https://t.co/BNJydjoxtp,7,0,1561481129298837504
2022-08-21 22:31:11+00:00,毎日継続されていて素晴らしいです😭 https://t.co/yI8STyYYdH,10,0,1561481065742512128
2022-08-20 02:54:24+00:00,入ってすぐの方の投稿であっても、こうやってリアクションがつくのも最高😆🤩 https://t.co/ED5whdnIKJ,8,0,1560822531774627840
2022-08-19 21:34:00+00:00,"code4biz入って数日なのにすごい😂
code4bizは積極的に関わってくださる方が多くてほんとありがたい🔥 https://t.co/gqP4KqHS60",15,0,1560741897760518144
2022-08-11 09:30:34+00:00,録画後の動画にBGM付けられたら最高なんだけどな〜。ってくらいであとは文句なしです。,4,0,1557660739854553088
2022-08-11 09:30:34+00:00,"半年ほど前から画面録画にLoomを使ってます。

・ショートカット操作で即録画
・動画はクラウド保存、ローカル容量を圧迫しない
・動画数無制限、録画時間無制限
・録画後すぐに外部共有可能

これで月額8ドルってエグすぎます。
講義撮影する人とかには超絶オススメです。
https://t.co/1TtAsithVp",10,0,1557660738755641344
2022-08-10 02:21:39+00:00,GAS（Google Apps Script）ができてよかった🥺,10,0,1557190409969106944
2022-08-05 12:54:25+00:00,"ありがとうございます😭
毎日2〜3時間継続されたのが素晴らしすぎます😂 https://t.co/9foIX55yNZ",5,0,1555537712500748288
2022-08-04 14:37:15+00:00,ホテル1階がイケイケなバーで1人で勝手にテンション上がってます☺️ https://t.co/4iUX4iIEyt,15,1,1555201200181870600
2022-08-04 12:04:08+00:00,"バンコクきて美味しいものしか食べてない。
※東南アジアの料理食べれません",10,0,1555162668792565760
2022-08-04 12:01:07+00:00,東南アジア移住一番の障壁はトイレと水な気がする。この部分のストレスが解消できたら、だいぶ住みやすいんだけどな〜。,6,0,1555161911779397632
2022-08-04 11:31:37+00:00,この理解はめちゃくちゃ重要だと思ってます。キャリアチェンジで前職と同じ給与水準を保てると思ってたら流石にきつい。 https://t.co/BbUxpGAq7U,5,1,1555154485931978752
2022-08-02 03:09:47+00:00,"昨日から仕事兼プライベートでバンコクにきてます☺️
朝からホテルで仕事をしてるのですが、色々とアイディアが降ってきます💡",12,0,1554303420885921792
2022-08-01 09:30:43+00:00,えっ、参加されてたんですか！！！どなたかわからない謎😂🥺 https://t.co/sqcEQtXadI,5,0,1554036896874934272
2022-08-01 01:29:49+00:00,お疲れ様会に参加した人からしか集計できていませんが、第1期満足度めちゃ高いです☺️ https://t.co/fvFik4LU3i,6,0,1553915874318647296
2022-08-01 00:40:28+00:00,"ありがとうございます🤩😂
素敵なデザイナーの方のおかげです☺️
※STUDIO使ってます💻 https://t.co/e1cn4id8Nn",7,0,1553903457173929984
2022-07-31 10:55:00+00:00,"大変お待たせいたしました！

code4biz説明会を再開しました☺️
第1期受講生のおかげで、非常に良いスクールに仕上がっております🔥

興味あるかも！待ってました！という方は是非説明会にご参加ください😆

私いまにゅが直接お話します🧑‍💻
https://t.co/InTY8HJOTe
※第1期は100名満員御礼",25,6,1553695718598213632
2022-07-27 04:31:40+00:00,新卒入社して最速昇進してる後輩にFacebook広告について教えてもらったのだけど、「運用者はFacebookのAIにうまく学習してもらうにはどうすればいいかを考えなきゃいけない」って聞いて妙に納得しました。,51,3,1552149698097528839
2022-07-26 03:47:31+00:00,"広告回してなかったから気にしてなかった盲点😂
STUDIOのメリット・デメリットに関して一番わかりやすくまとめてある気がする🧑‍💻 https://t.co/fof7ZtvhL1",5,1,1551776201047678976
2022-07-17 08:04:41+00:00,"YouTubeやLINEでたくさん質問をいただくのは非常にありがたいのですが、みなさん質問が抽象的すぎて回答にめっちゃ困ります😂
質問力めっちゃ大事なのをまずは理解してほしいところです。",11,0,1548579429357867010
2022-07-16 08:52:09+00:00,アンテナを張ってるだけで学びってどこにでもあるんだなと実感する今日このごろ。,11,0,1548228986748403712
2022-07-13 11:21:14+00:00,Let's work with Osa https://t.co/ccFSkJMqCb,2,1,1547179339422519296
2022-07-13 09:25:37+00:00,僕が新卒の頃は能力皆無で、ベンチャーマインドが備わっているただの若者でした。マインドが比較的しっかりしていたおかげでしんどい日々も乗り越えられたし、短期間で色々な経験・スキルを得ることができました。,7,0,1547150243158163456
2022-07-13 09:23:42+00:00,能力・技術が現状なくても大丈夫だと思っています。どちらかといえば、マインドセットがしっかりしていることの方が重要です。考え方ひとつで得られるスキルや経験が大きく変わってきますし、いざとなった時にチャンスを掴み取れるかどうかって、能力云々ではなく気持ち・姿勢の問題だと思っています。,10,0,1547149763644370944
2022-07-13 09:20:29+00:00,"誰しもが未経験から始まってるんです。
未経験でも大丈夫ですか？だなんて聞いても、個人的には「あぁ〜、そういうマインドかぁ」と正直思ってしまいます。未経験『だけど』と不安になるのではなく、未経験『だから』と行動に移していく方が圧倒的に良いキャリアを積めますよ。",15,0,1547148954131136512
2022-07-13 07:57:22+00:00,全集中モードに入ってLINEメルマガ4本一気に書き終えた。覚醒すると他のことが気にならずにひたすら手が動きますね。Twitterなんか投稿してる暇ないです←,8,0,1547128034192654337
2022-07-11 04:42:26+00:00,賃貸契約にあたって、オンラインでの説明が必要だからと共有されたよくわからんアプリ。1回のためだけにインストールするの嫌なので断ろうとしたけどダメでした。いざ面談になると音声、画質ともに悪すぎたので、声が聞こえにくいことを伝えたら結局電話になりました。最初から電話にして😭,7,0,1546354203076874240
2022-07-07 21:46:00+00:00,"code4biz受講生でIT企業に転職決まったとの報告をいただきました🥺
転職・副業をゴールとしたスクールではないですが、学んだことは転職で十分アピールできる要素になると思うので非常に嬉しいです😆
個別相談で「職場環境的に転職も視野にいれるといいかもですね〜」と伝えてから1ヶ月も経ってない😂",15,0,1545162239354830849
2022-07-07 11:44:52+00:00,API、Webhook使いこなせば結構いろんなこと出来る気がします☺️,14,0,1545010960477274112
2022-07-07 00:06:58+00:00,"Google Chrome拡張機能開発は個人的にめっちゃ面白いと思っているので、是非みなさんにご受講いただきたいなと思ってます☺️
Chrome拡張機能開発にあたって、JavaScriptを学ぶ必要があるので、そちらも作っていく予定です！！",9,0,1544835328803946496
2022-07-06 21:48:00+00:00,"🧑‍💻今後制作予定のコンテンツ🧑‍💻
・Django超入門
・code4biz GASコース
・Google Chrome拡張機能開発
・NoCodeによる業務効率化・自動化
・JS入門※Chrome拡張機能開発に必要
・ビジネスパーソンが抑えるべきIT用語100選",22,2,1544800354818297859
2022-07-06 09:28:25+00:00,"最近、夜中に起きると目の前に動物とか虫がいるんですけど、これなんて現象でしょうか。
半分寝ぼけている状態で幻覚ではありますが、怖すぎて心拍数上がります。どうやったら動物と虫がいなくなるのでしょうか。",7,0,1544614235694542848
2022-07-06 01:35:04+00:00,プログラミングで業務効率化・自動化できるスキルを持っておくにこしたことはないですが、あくまで1つの手段であるということをしっかり抑えておきましょう。NoCodeやクラウドサービスを使用した効率化・自動化も同様です。目的達成のためのHowは複数あることを認識した上で最適解を選択すべきです。,13,1,1544495110015963136
2022-07-01 09:29:34+00:00,"環境で人は大きく変わります☺️
くすぶっているそこのあなた、是非応募してみてください💪 https://t.co/NUZgzce5di",14,1,1542802582870953984
2022-06-30 06:58:57+00:00,"■ YouTubeでよく来るコメント

〇〇でもできますか？
→〇〇でできるか試してください

〇〇でやったらどうなりますか？
→〇〇でやってみてください

質問する前にまず自分で確かめる癖付けないといつまで経ってもプログラミングは上達しませんよ😭",16,0,1542402290727825408
2022-06-29 07:59:29+00:00,おそらく先輩経営者ほどの数はないのだが、使う（予定）ドメインがどんどん増えていく。このドメインの大半使わないんだろうな。,8,0,1542055137937465345
2022-06-29 05:34:06+00:00,"今日はたんたさんのJava入門講座👨‍💻
大学生ぶりのJavaだ😅ほとんど覚えてない😇
@tan_x2_ 
#code4biz https://t.co/nqz9zmCzpW",10,0,1542018552332316672
2022-06-26 23:43:42+00:00,学生の頃に鍛えた予知能力(電車で座っている人がいつ立つかを見極める力)は健在だった。,13,0,1541205592970108928
2022-06-26 04:11:16+00:00,"今月は各地を転々としていましたが、思考が捗り仕事が溜まりました。7月は実働に時間を割いていきます。

▼6月の移動▼
サムイ島（タイ）→東京→札幌→東京→大阪→淡路島→高知→東京→金沢→東京",14,0,1540910542432284672
2022-06-26 02:02:11+00:00,昨日のcode4biz受講生限定ウェビナー『つたわるプレゼン②〜スライド制作 Tips〜』がめちゃくちゃ面白かったです。プロがリアルタイムで添削している試行錯誤の過程を見れるのはめちゃくちゃ貴重ですね。結果だけではなくやはり過程にも重きを置いた教育は大事だなと改めて痛感しました。 https://t.co/p3qDRqVtZH,19,0,1540878055979118593
2022-06-24 01:43:17+00:00,"昨日は金沢のハーブ農園にお邪魔したのですが、現場の方からお聞きした情報がめちゃくちゃタメになりました。終始興奮しっぱなしでした。笑
やっぱりネットでの情報収集ばっかりせずに、足を運ぶのが大事だなと痛感しました。",14,1,1540148526100860929
2022-06-22 00:12:50+00:00,コーポレートページのデプロイにVercel初めて使いましたけどめちゃ簡単ですね😆,8,0,1539400984954171393
2022-06-21 23:52:38+00:00,お名前.comにログインすると「セッションが切断されました」って出てきて、すぐにログアウトしてしまうんですけど僕だけですかね？😂,1,0,1539395903097712640
2022-06-21 23:48:36+00:00,もちろん仮説を立てる上では有効な考えかもしれませんが、否定的な意見をわざわざぶつける必要ないよね、って思います😇,5,0,1539394889376444418
2022-06-21 23:47:19+00:00,"1つの事象が他全てに当てはまると思ったり、
よくある事象が特定の1つの事象にあてはまると思って、批判的なコメントする人って何なんですかね😇
新しい取り組みや挑戦を最初から否定するような人にはなりたくないですし、関わりたくないですね☺️",13,0,1539394563944509440
2022-06-21 06:05:48+00:00,"code4biz内で徐々に実務への活用事例が増えてきました☺️
業務効率化・自動化する術を知ってるだけで、得することはたくさんあります😆
どんどん身の回りの業務をなくしていきましょ👍",10,0,1539127424369270784
2022-06-20 08:48:51+00:00,一緒にやっていきましょ〜☺️ https://t.co/xeB345KKhe,17,1,1538806069069131776
2022-06-18 23:06:01+00:00,よろしくお願いします☺️🤲 https://t.co/RFegsgCQgd,7,0,1538297009500659712
2022-06-15 13:37:33+00:00,"最高

nobodyknows+ - ココロオドル / THE FIRST TAKE https://t.co/QrNILs3MdL @YouTubeより",8,0,1537066786960527360
2022-06-15 00:07:03+00:00,fwywdのみなさん、ありがとうございました〜☺️ https://t.co/q8qXd1QuNZ,19,0,1536862816912543744
2022-06-12 09:01:52+00:00,"とあるホテル1階のコワーキングスペースのWiFi。
壊滅的に遅い。笑
これじゃ何もできん！！ https://t.co/0UwjuQBV3T",14,0,1535910243905175552
2022-06-11 08:47:38+00:00,"本日からとある農業スクールに入塾しました☺️
毎週土曜6時間のリアルタイムオンライン講義。農業を学ぶだけではなく、自社のスクールcode4bizに活かすためのヒントも見つけていきたいなと思ってます👨‍💻
教える者は常に学び、アウトプットし続けます😎",18,0,1535544272081997824
2022-06-11 06:08:03+00:00,"バナー画像等をデザイナーにFigmaで納品してもらう、というのが非常に良い。
サクッと修正・加筆ができるので、ベースデザインをデザイナーに作ってもらい、派生形をこちら側で作成するという流れが、質を担保しつつローコストでデザインを作る良き一手かもしれない。",16,1,1535504112170811397
2022-06-08 08:13:22+00:00,"1人で説得するよりも、同じ方向性の同僚と説得すれば少しは変わるかもしれません。
大きな変化は反発を受けやすいですが、小さな変化の積み重ねであれば反発が少ないかもしれません。
短期的な変化を起こそうとすると、
大きな負担が周りに発生します。周りのことも考え中長期的に取り組みましょう。",7,0,1534448485504000000
2022-06-08 08:09:05+00:00,"会社の〇〇な文化を変えたい、
〇〇を導入したい・使いたいけどうまく進めることができない、説得できないという相談をよくいただきます。

まずは、1人ではなく複数人で、
大きな変化ではなく小さな変化を
短期ではなく中長期的な目線で考えて
行動していくだけでも多少は変化があると思います。",9,1,1534447408641605632
2022-06-04 05:13:28+00:00,"ユーザー名やパスワード、住所などの情報を相手に共有するとき、1つのメッセージにまとめて記載するのではなく、ユーザー名単体、住所単体でメッセージを送るようにしてます。
相手がコピペしやすいような形式で送るだけでも相手のちょっとしたストレスが軽減されるし、気が利いてるなって思われます。",10,0,1532953660229132288
2022-05-25 11:27:06+00:00,出身地、大学、年齢、住んでる地域など、共通点めちゃくちゃ多いたんたさんのチャンネルに出ました🤩 https://t.co/RMlqwzq8o9,16,1,1529423810587308032
2022-05-23 13:11:02+00:00,"コンパクトな椅子にしようと、今の家に引っ越したタイミングで買ったこの椅子。長時間は向いていないようだ。短時間なら良いです。
https://t.co/jo7hGOULd6",5,0,1528725190405869568
2022-05-23 11:50:04+00:00,腰と尻と喉が限界突破しようとしてます。（撮影続き）,7,0,1528704813277794304
2022-05-22 00:54:51+00:00,この疑問をどこに残すかは難しい部分ではありますが😅,4,0,1528177535841734656
2022-05-22 00:54:51+00:00,"code4bizの講座では、あえて疑問が残るような教え方を部分的に取り入れています。
疑問が残ることで、自分で調べ、理解する力を身につけてほしいからです。完璧な教え方ももちろん素晴らしいですが、受講生が自発的に行動する要素を取り入れることも非常に大事だと思っています。",17,0,1528177534667411456
2022-05-19 09:37:29+00:00,"何も許可なくアイキャッチ画像に僕の画像が使われているんですけど、こういうのってどうなんでしょうか...
@gizmodojapan 
@UdemyJapan 
https://t.co/dqOUYuhqco",13,1,1527221898446516224
2022-05-19 01:07:50+00:00,おっ、Streamlit Cloudにアナリティクス機能？が実装されたみたいだ。後でチェックしてみよっと☺️ https://t.co/bAiWepv71Q,7,0,1527093640551550978
2022-05-18 11:02:00+00:00,🤩 https://t.co/UHNaLszKCw,1,0,1526880777866444801
2022-05-14 01:47:06+00:00,"来週のcode4bizウェビナーは、私がいつも資料作成をお願いしている方の資料作成講座🤩
めちゃ楽しみです！☺️",15,0,1525291580579405824
2022-05-14 01:41:42+00:00,"昨日のウェビナー（5G超入門）も大好評☺️
僕自身も初めて知ることがほとんどだったので楽しかったです🤩最後の雑談で、筋トレについて話してるときが一番楽しそうでした💪 @takiteazy_E https://t.co/3qSZeVVI7C",7,0,1525290223659151361
2022-05-13 00:09:52+00:00,"本日20時からcode4biz受講生限定で5G入門ウェビナーを開催します🧑‍💻
講師は、Power石田さん（@takiteazy_E ）です💪
5G以外の何かが学べそう👀 https://t.co/JgGh4DpIPY",8,0,1524904724256129024
2022-05-03 09:44:08+00:00,"音声もやるか！！
※YouTube2ヶ月更新できてない😇 https://t.co/rlKn3Wy24s",12,0,1521425363884474369
2022-05-03 02:59:28+00:00,"code4bizが開講してから1ヶ月が経ちましたが、業務や趣味にプログラミングを活用できた！という事例がちらほら上がってきてます☺️
アクティブに発信したり、コミュニケーションを撮ってくださる受講生のおかげで、受講生主体の勉強会なども随時開催されてます🧑‍💻素晴らしすぎます😆",16,3,1521323525684219905
2022-05-03 01:48:28+00:00,必要になった時に学ぶのが一番理解深まる。,18,0,1521305659622703104
2022-04-20 22:13:00+00:00,"昨日はcode4biz受講生限定ウェビナー第1回目を開催しました🧑‍💻

・テーマ：現場で取り組んだデータ分析事例と機械学習エンジニアとして歩むキャリア
・登壇者：酒井健三郎氏（@kenzaburo_sakai ）

満足度もめっちゃ高く、質問がたくさん飛び交う素敵な回となりました☺️

来月はウェビナー3回開催予定！ https://t.co/waeeZpIkiK",11,0,1516902780543324162
2022-04-20 10:20:01+00:00,"ハーブティー飲みたい
↓
お湯を沸かす
↓
忘れる
↓
冷める
↓
お湯を沸かす
↓
忘れる
↓
...
という無限ループから解放されたいです。",14,0,1516723353813647366
2022-04-15 02:18:34+00:00,実績づくりのための仕事って依頼を受けたときが一番モチベーション高い気がする。,8,0,1514790253160132618
2022-04-13 02:42:10+00:00,"改善した時にインパクトの大きい要素にフォーカスして、試行錯誤を繰り返しています。
中には「捨てる」という判断も行っているので、一受講生の意見を反映していない場合もあります。",6,0,1514071415234138112
2022-04-13 02:38:59+00:00,"アンケートを実施したり、受講生と直接コミュニケーションを取っていることで、様々な悩みや不安、意見、要望等を集めることができています。
ただ、頂いたコメントを鵜呑みにせず、その人だけが感じていることなのか、他の人にも当てはまることなのかをしっかり見極めることが重要だなと感じてます。",14,0,1514070614520528896
2022-04-13 02:34:32+00:00,教材作成もやってます🥺,3,0,1514069493831827457
2022-04-13 02:33:32+00:00,"code4bizが開講して約2週間。
いい形でスタートできたものの、改善点も多々あるのでスピード感もっていろんな施策を進めています。
優秀なメンター陣のおかげで、実行部分をほぼ任せられている状況で感謝しかないです。
僕がやるのは適切な全体把握と意思決定のみ。",14,0,1514069245780717568
2022-04-10 09:36:00+00:00,"code4bizのメンターは6名いるのですが、それぞれの強みがいい具合にバラけていて最高です。

・外資コンサル勤務
・実務でカメラ内の画像処理を実装
・現役東大生（個人で複数案件受注）
・サーバーサイド、データ分析が得意
・対応領域が幅広いフルスタックエンジニア
・プロテイン売りのマッチョ",27,0,1513088396494790659
2022-04-10 05:09:14+00:00,"法人登記の際にCD-Rが必要な文化をなくしていただけないでしょうか。100均にしか売っていません。
※昨年もツイートした気がする",9,0,1513021262947549185
2022-04-10 02:21:02+00:00,"昨日お話した受講生の方に「code4bizに入るか正直結構悩んでいて、説明会では比較的ネガティブな質問を投げていたんですけど、既にcode4bizに入って良かったと思ってます！動画めっちゃわかりやすいです」という嬉しいコメントをいただけました☺️

#code4biz",18,0,1512978933868003328
2022-04-10 02:15:21+00:00,"code4biz第1期が始まってから10日目。
素敵なメンター陣と日々試行錯誤をしながら万全な体制を整えていってます🧑‍💻
初回となる第1期は、ありがたいことに101名の方にお申し込みいただけました☺️感謝！
100名を目標としていたので、良いスタートを切ることができました😆

#code4biz",9,2,1512977502515662855
2022-04-08 06:05:16+00:00,"＜最近わかったこと＞
ITツール系に強くない人はトグル（▶）を押すと開閉するという認識がない👀",18,1,1512310590240288773
2022-04-07 21:34:00+00:00,"プログラミング初学者の方はまず「動画」で学ぶことをおすすめします。
テキストベースだとどうしても情報が断片的になりがちですが、動画は一連の流れを全て見ることができます。
特にプログラミング初期の頃は、どこに対してどんな操作を行ったかという一挙一動を見ることが非常に重要です。",20,1,1512181923648610312
2022-04-07 14:23:01+00:00,3倍速で帰り道に試聴中☺️ https://t.co/YYpw1tAIQX,7,0,1512073465662115849
2022-04-07 09:12:00+00:00,"スクールに入って最初に取り組むべきは「習慣化」です。自分のライフスタイルに合った学習習慣をしっかり作ることができれば、講座理解度、スキル習得度が向上するのは時間の問題です。
逆に最初の期間で習慣化がうまくいかないと消化不良になってしまうことが多いです。",11,0,1511995193314136065
2022-04-07 02:07:14+00:00,"何が言いたいかというと、
プログラミング初学者の方は、サポートスタッフがいない「リアルタイム研修」に参加するのは絶対やめましょう。プログラミングを学ぶ前にタイピングスピードを上げてください。これは努力次第でどうになかることです。タイピングスピードが遅いのは単なる努力不足です。",9,0,1511888298243145730
2022-04-07 02:07:14+00:00,ちなみに、前職でも「リアルタイムのオフライン研修形式」を取っていましたが、受講生が15名いたらサポートスタッフを2名ほど配置し、置いてけぼりになる人がでないような体制を取っていました。だから研修の満足度もめちゃくちゃ高かったです。サポートスタッフもみんな教えるのうまいです。,5,0,1511888296636743685
2022-04-07 02:07:13+00:00,挫折してしまう大きな原因は、あなたの理解力不足ではありません。あなたが馬鹿だからでもありません。あなたに適した学習形態、学習スピードですすめることができなかったから挫折するんです。,4,0,1511888295521062917
2022-04-07 02:07:13+00:00,リアルタイムで講義を実施する際、しっかり念頭に置いておかなきゃいけないのが「受講生のタイピングスピード」です。びっくりするくらい速い人もいれば、びっくりするくらい遅い人もいます。このタイピングスピードに大きな差がある時点で、後者の人は置いてけぼりになる確率がかなり高まります。,4,0,1511888294224994310
2022-04-07 02:07:13+00:00,"講師1名でプログラミング初学者15名をサポートするのは正直無理です。そのような体制をとっている時点で、パレートの法則で言う、2割の落ちこぼれ（てしまう） 層をサポートする気がないです。
ましてや初学者に最初からDjangoを教えていたみたいなので、挫折者を生み出すスクールだと感じました。",4,0,1511888292345966595
2022-04-07 02:07:12+00:00,"code4biz説明会で「過去にスクールに通って挫折したんですけど...」という方がいました。どのような形式だったのかをお聞きしたところ「リアルタイムのオフライン研修形式」とのことで、講師1名に対し受講生約15名だったらしいです。
そりゃ挫折しても仕方がないわ。。。と思いました。
↓続く",12,0,1511888291163144194
2022-04-06 11:14:29+00:00,明日会食😭 https://t.co/gTYPO8bafg,7,0,1511663630109986823
2022-04-04 13:11:42+00:00,code4biz受講生のみなさんが協力的すぎて有り難いかぎりです😭,16,0,1510968352881397764
2022-04-02 01:24:14+00:00,1週間ほど体調を崩しており、本調子じゃなかったのですが、ようやく回復してきました。やること多すぎて発狂しそうですが、4月も頑張っていきましょ。,24,0,1510065536394178560
2022-04-02 01:05:01+00:00,15分でもいいので書いておかないと綺麗サッパリ忘れちゃいますよね😅 https://t.co/74fU1DvRpl,10,0,1510060701276327936
2022-04-02 01:04:28+00:00,"oViceによるコミュニティ運営をハックしたい。

#code4biz",6,0,1510060565045329925
2022-03-28 13:59:10+00:00,気になる☺️🤩 https://t.co/7alVRootCC,6,0,1508443581492576256
