時間,ツイート本文,いいね,リツイート,ID
2022-11-07 05:17:16+00:00,簡易的な動画編集はCanvaが最高かもしれない。,13,0,1589487124105269248
2022-11-06 12:33:32+00:00,ようやく手元に。わかりやすく伝わるようにフルカラー、マンガによる導入、対話による説明など、工夫を散りばめております。 https://t.co/WalRzl0TZB,28,4,1589234526580277249
2022-11-05 23:24:37+00:00,code4bizの受講生主体勉強会、どんどんレベルが高くなっていってる。すげー。僕ノータッチです。,10,0,1589035989439479809
2022-11-05 21:03:00+00:00,"■ IT用語100選：クラウド
みなさんご存知であろうクラウド（コンピューティング）が持つ5つの特徴はご存知でしょうか？「あぁ確かにクラウドってこういった特徴があるな」と新しい気付きが得られるような回です。
https://t.co/sq4NSqRUsb",12,0,1589000350001938432
2022-11-05 07:07:36+00:00,大変恐縮ですが、プログラミングに一切関係はありません。,5,0,1588790115501223936
2022-11-05 07:07:13+00:00,［祝］Pinterest広告に初CVついた🔥,14,0,1588790018671534080
2022-11-02 09:04:00+00:00,プログラミング初学者はあれもこれも手を出さないほうがいいですよ。どれも中途半端になるより、1つの言語を習得した方が絶対にいいです。他の言語に浮気せず、最初に選んだ言語に時間を割きましょう。1つの言語を習得できていたら他の言語にも応用が効くので、習得スピードが段違いです。,32,4,1587732244713459712
2022-11-01 09:05:00+00:00,最近、Web3で代替されるサービス、みたいな画像ツイートをよく見かけるのですが、僕は代替されるイメージが1ミリも湧いていません。リプレイスするほどのメリットを感じないですし、今使っているサービスに不満もありません。それ相応の代替理由がない限り定着するのは難しいと考えています。,7,0,1587370108837429248
2022-10-31 09:07:00+00:00,しっかり成長してるなぁ、成長するだろうなぁという人は環境を活用しまくっていますね。受けられるサポートがあればすぐに利用するし、学べる機会があれば貪欲に参加してます。いい意味で、周りにいるひとたちのことも利用してます。それくらいアグレッシブに取り組んでいかなきゃもったいないです。,11,1,1587008223302688769
2022-10-30 22:50:44+00:00,"■ IT用語100選：ディープラーニング
音声のみでの説明はめちゃくちゃ難しいですが、気軽に聴ける・学べるコンテンツとしては有用だなと思ってます。
https://t.co/efnTvmWLOR",8,0,1586853135040991232
2022-10-30 09:04:00+00:00,プログラミング初心者は、「コードを覚える」ことをやめたほうがいいですよ。覚えようとしている限り成長しないです。「コードを手になじませる」「頭に刷り込む」のほうがイメージに近いです。今までの学校でのお勉強ではなく、スポーツのほうが感覚としては近いです。これ超重要な考え方です。,48,9,1586645080881786880
2022-10-30 07:01:47+00:00,めちゃくちゃ使えます。 https://t.co/srEU5GYCH8,4,0,1586614326051319809
2022-10-30 03:49:54+00:00,そうなんですよね。本当に有能だと感じます。環境構築不要かつ実務に活かしやすいので、非エンジニアでも取っつきやすい点も魅力的です。Messaging APIを始めとした外部APIとの連携も手軽なので、そこもおすすめポイントですよね。2年前にv8ランタイムに対応してからエディタも使いやすいですし。 https://t.co/hCJd0r7lwV,8,0,1586566033480957954
